Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5vuJuBqwzHJgCA1ysRfwxZ,"good kid","good kid, m.A.A.d city (Deluxe)","Kendrick Lamar",2012,214120,59,true,,2026-02-17T00:03:35Z,"hip hop,west coast hip hop","Aftermath",0.451,0.831,5,-8.641,0,0.308,0.0623,0,0.185,0.41,176.173,4
spotify:track:6nxRxeYjAKJfwtWGO1CtjO,"Do That for You","Life In Colour","Andreya Triana",2019-05-24,203415,33,false,,2026-02-16T15:47:59Z,"","Hi-Tea Records",0.78,0.395,1,-9.234,0,0.232,0.246,0,0.0788,0.565,102.164,4
spotify:track:11XUQSiGmgbKCUSFCo7GWn,"Far Too Much - Edit","Far Too Much","Oscar Jerome",2023-08-11,195945,32,false,,2026-02-16T15:30:44Z,"indie soul,jazz house,indie jazz,nu jazz","Jeromeo",0.766,0.659,5,-9.974,1,0.0415,0.357,0.468,0.354,0.854,99.95,4
spotify:track:2ewg31VuWBIamb8f8APqw7,"Sisters With Me","Sisters With Me","Tom Misch",2026-01-28,244591,56,false,,2026-02-09T15:44:05Z,"indie soul","Beyond The Groove",0.682,0.461,2,-8.47,1,0.0452,0.121,0.129,0.112,0.234,162.022,4
spotify:track:3JW2uVwLbJkuqBMmPLjEsm,"Spick And Span","In My Own Time","Rikard From",2024-05-31,246933,42,false,,2026-02-08T15:07:32Z,"","Snafu Records",0.751,0.31,6,-16.482,0,0.0553,0.902,0.905,0.0766,0.734,90.009,4
spotify:track:2FmADxrIphJZSrHzwYkUcR,"Pink + White - Live at Electric Lady","Live at Electric Lady","Remi Wolf",2022-08-04,233406,49,false,,2026-02-08T13:55:11Z,"","Island Records",0.498,0.468,9,-6.17,1,0.0502,0.133,0,0.103,0.55,148.266,3
spotify:track:1TUEHnjPqWLX3T6WB7nejC,"Liz - Live at Electric Lady","Live at Electric Lady","Remi Wolf",2022-08-04,215220,32,false,,2026-02-08T13:55:08Z,"","Island Records",0.588,0.588,7,-4.809,1,0.0354,0.0418,0,0.139,0.491,147.803,4
spotify:track:2sJ8UfxfNgMpbQhYx9kL1G,"Sauce - Live at Electric Lady","Live at Electric Lady","Remi Wolf",2022-08-04,248960,25,false,,2026-02-08T13:53:16Z,"","Island Records",0.736,0.454,1,-5.834,0,0.0499,0.0918,0.00000124,0.105,0.711,123.582,4
spotify:track:4VN7eV87N6Mm5ZEDlE9ZeN,"you, the sun","you, the sun","Darling Joan",2026-01-02,206000,28,false,,2026-02-06T18:07:50Z,"","Darling Joan",0.703,0.579,4,-9.826,0,0.0917,0.659,0.00623,0.134,0.888,89.909,4
spotify:track:7mols1wrTGpA0mdVEqakEJ,"5PM (from ""Animal Crossing: New Horizons"")","VGM Covers, Vol. 11","Game & Sound",2021-02-26,213000,32,false,,2026-02-04T23:20:19Z,"","Game & Sound",0.706,0.32,6,-12.797,0,0.0326,0.888,0.746,0.103,0.49,146.028,4
spotify:track:6P5aL5sFxn8xs7q6N2w3Ky,"Woo! - Live at Electric Lady","Live at Electric Lady","Remi Wolf",2022-08-04,197930,34,true,,2026-01-29T01:26:06Z,"","Island Records",0.788,0.884,10,-5.13,0,0.101,0.0555,0.00000307,0.0832,0.922,95.009,4
spotify:track:7rYyYKW8QxGzkRnqa165JC,"More Than a Woman","More Than a Woman","The Shadowboxers",2020-12-17,224666,39,false,,2026-01-26T15:54:32Z,"","The Shadowboxers",0.744,0.506,7,-7.852,1,0.234,0.85,0.0599,0.0834,0.522,90.077,4
spotify:track:2V26mUO6YIHp5LEjEh0q28,"Soft Spot","Soft Spot","Emmaline",2024-02-16,202656,36,false,,2026-01-14T00:05:56Z,"vocal jazz","CurlyCue! Records",0.868,0.651,0,-8.971,1,0.0602,0.37,0.00000222,0.0957,0.899,145.969,4
spotify:track:6r9GzPEdq4bGp507oxt2iZ,"Lost In Space","Paradise State of Mind","Foster The People",2024-08-16,259252,54,false,,2026-01-13T14:53:23Z,"","Atlantic Records",0.818,0.794,5,-4.606,0,0.0416,0.019,0.0615,0.0741,0.737,122.428,4
spotify:track:5mQ8ouxdUK4VFa26aBJH1a,"The Sheriff","The Sheriff","Vulfmon;Devon Yesberger;Noé Socha",2026-01-08,189042,16,false,,2026-01-12T16:21:18Z,"","Vulf Records",0.773,0.552,10,-8.196,0,0.0658,0.406,0.859,0.12,0.89,104.914,4
spotify:track:6zA8QZUAJwR1FxvuW1qR2l,"Anticipation","Lighter Notes","Luca Sestak",2024-03-08,221000,51,false,,2026-01-09T19:45:59Z,"boogie-woogie,ragtime,boogie","Luca Sestak",0.441,0.456,8,-13.66,1,0.0451,0.51,0.937,0.128,0.493,180.131,4
spotify:track:6xKKBbIWCnWB0SYcFrNCGY,"Where To Go","Dream Big","Rindue",2024-10-11,185238,31,false,,2026-01-09T19:09:50Z,"","Backboard",0.896,0.498,10,-10.189,1,0.0468,0.247,0.123,0.0753,0.834,126.016,4
spotify:track:0UJ4vyVDTfnttTdIi1ZDDp,"Mila Ascending","The Observer","The Steve McQueens",2021-10-28,409558,10,false,,2026-01-09T19:03:04Z,"jazz fusion","Umami Records",0.471,0.391,7,-12.143,1,0.0492,0.536,0.00614,0.105,0.398,90.036,3
spotify:track:3X6Td9MHihqUIlcsONRvLJ,"Astronaut Song","Astronaut Song","jomm;readyaimfire27",2025-06-27,187636,41,false,,2026-01-07T16:24:46Z,"","jomm records",0.659,0.568,4,-7.871,1,0.0526,0.474,0.0000417,0.118,0.624,137.694,4
spotify:track:2tRmDRpItPAeB56NgFUmpV,"Seaside Samba","Cidade Da Paixão","King Flamingo",2019,104045,48,false,,2026-01-06T21:40:04Z,"bossa nova","Soundstripe Productions LLC",0.776,0.399,5,-12.04,1,0.0451,0.237,0.412,0.0959,0.494,94.943,4
spotify:track:7oTaBk0IrTeO7dKlUIn1k1,"Morning Dance","Morning Dance","Spyro Gyra",1979-01-01,236466,56,false,,2026-01-04T14:17:51Z,"smooth jazz,jazz fusion,jazz,jazz funk,cool jazz","Amherst Records, Inc.",0.699,0.776,10,-7.283,0,0.0436,0.445,0.65,0.0978,0.838,101.692,4
spotify:track:6shg15e9NLgOH19ZJgYrZN,"MR. SANDMAN","MR. SANDMAN","Young Original",2025-12-05,130000,35,false,,2026-01-02T23:06:56Z,"","Coventry Carol",0.539,0.611,9,-8.599,1,0.0631,0.855,0.00000534,0.193,0.613,123.777,4
spotify:track:1QGpWSmDfEMqO95IFMFviv,"Kaião","Birds Who Run","Sean Angus Watson",2025-12-19,180000,42,false,,2026-01-02T22:53:11Z,"","Sean Angus Studios",0.5,0.119,4,-20.344,1,0.0382,0.976,0.948,0.0997,0.526,96.67,4
spotify:track:15ZPKfozmYG9jcPuA5CYyG,"Overjoyed","It's A New Dawn","Victory",2017-11-17,238640,32,false,,2025-12-30T20:30:50Z,"christian jazz,christian r&b","RocNation/Peace Music",0.527,0.199,3,-9.838,1,0.0388,0.767,0,0.126,0.461,105.189,5
spotify:track:4V8Qpg8beqyZQkQmsdFQ2u,"Grateful For - Piano Version","Amen (At The Piano)","Natalie Layne",2023-12-15,218533,42,false,,2025-12-22T14:30:58Z,"christian jazz,christian pop,ccm","Centricity Music",0.641,0.373,6,-5.824,1,0.0497,0.933,0.00000343,0.0984,0.637,83.697,4
spotify:track:5t6reWfzf0aOeMgVijYRGS,"Neighbor Song [Feat. Madison Cunningham]","Neighbor Song (ft. Madison Cunningham)","Lake Street Dive;Madison Cunningham",2023-10-06,220230,29,false,,2025-12-14T15:19:47Z,"","Fantasy",0.649,0.217,7,-9.826,1,0.0537,0.885,0.000026,0.108,0.444,75.542,4
spotify:track:54BTdSX1jqE366VPHeGfWh,"My Full Name","Ace","Madison Cunningham",2025-10-10,199520,40,false,,2025-12-14T14:06:37Z,"","Verve Forecast",0.471,0.173,3,-11.971,1,0.0303,0.921,0.0000333,0.089,0.388,99.606,4
spotify:track:0fZG0c6TzLUTnCYIjOQnOS,"If I'm Honest","Out Of My Mind","Trousdale",2023-09-15,162701,45,false,,2025-12-10T18:27:04Z,"","Independent Co.",0.488,0.572,8,-6.914,1,0.157,0.232,0,0.0637,0.551,202.149,4
spotify:track:394hVs6PgP6vboOjN2j90f,"Improviso","Projeto Memoria Brasileira : Viva Garoto","Garoto",2013-05-31,169533,40,false,,2025-12-01T15:31:18Z,"bossa nova,brazilian jazz","Nucleo Contemporaneo",0.502,0.102,5,-18.747,1,0.0483,0.991,0.951,0.116,0.39,72.55,4
spotify:track:2wtuucjI2nCf0Xbf5pGcx9,"Susan's Theme (Interlude)","Strange Harbors","Matt Block;Morton Block",2022-09-30,115874,34,false,,2025-12-01T15:12:22Z,"","La Reserve Records",0.307,0.153,0,-18.739,1,0.0409,0.976,0.889,0.117,0.264,67.616,3
spotify:track:7s2dWFnGSW2TyghkD6uvWb,"Farewell","Slice of life (人生のひとこま)","Erikson Jayanto",2020-08-07,142404,50,false,,2025-12-01T15:09:59Z,"indonesian jazz","Menyiur Records",0.429,0.241,11,-14.294,0,0.0265,0.967,0.94,0.326,0.311,157.945,3
spotify:track:2ho3ssuLPbjiJiNam3Cuob,"I'll Stay A Fool","Housecat & Sisyphus 55, Vol. 2","Housecat",2022-04-08,232801,25,false,,2025-12-01T14:54:59Z,"","Midnight Studios",0.49,0.0281,0,-26.744,1,0.0691,0.981,0.927,0.106,0.677,75.074,4
spotify:track:1S7QHvvLPCwxLuR5O6ysUl,"I've Been Low","Time in Thought","Housecat",2020-06-13,198530,4,false,,2025-12-01T14:27:55Z,"","1322809 Records DK",0.773,0.191,2,-21.869,1,0.0604,0.962,0.94,0.151,0.546,119.986,4
spotify:track:7IAC8d1MpiYgNqIdkVNnPo,"Disappear","Die 4 Ur Love (Deluxe)","Tei Shi",2020-12-11,179335,22,true,,2025-11-25T02:00:43Z,"art pop","Diktator Records",0.826,0.624,7,-8.386,1,0.25,0.784,0.00000173,0.112,0.894,115.94,4
spotify:track:0tuyEYTaqLxE41yGHSsXjy,"Won't Go Home Without You","It Won't Be Soon Before Long.","Maroon 5",2007-01-01,231173,72,false,,2025-11-24T19:55:21Z,"pop","Interscope Records*",0.738,0.614,3,-3.761,1,0.0318,0.0151,0,0.104,0.413,110.021,4
spotify:track:6HjoXmL9BiC1Cmb7oktz5N,"Wake Up Call","Sanctuary Point","Mel Blue",2023-03-10,224500,62,false,,2025-11-17T18:13:07Z,"","Nettwerk Music Group",0.909,0.595,10,-7.3,1,0.0729,0.271,0.0947,0.196,0.743,107.007,4
spotify:track:3POqTfHky5SIYc4wzgDd8j,"Nothing Lasts Forever","Hex Key","Mamalarky",2025-04-11,197933,39,false,,2025-11-17T18:12:05Z,"","Epitaph",0.706,0.571,5,-6.315,0,0.0856,0.0439,0.00000541,0.371,0.605,83.987,4
spotify:track:0a97182Qifw2VU2sQRTQML,"The Love Of A Rose","In Person","Vince Guaraldi",1963,163266,17,false,,2025-11-06T23:49:00Z,"jazz,cool jazz","Original Jazz Classics",0.645,0.613,8,-12.855,1,0.0289,0.699,0.377,0.0669,0.926,114.69,4
spotify:track:1gl2SfbVdKKp2eoFOzRS5O,"Waking up on a Picnic Blanket","The Sounds of Spring - EP","Lullatone",2015-05-09,162086,35,false,,2025-11-03T14:51:40Z,"","Lulla-Label",0.636,0.463,11,-13.66,1,0.0415,0.915,0.653,0.111,0.461,111.034,4
spotify:track:2J3JColoX5vc5P1m1JcErG,"Night or Day","Paint a Room","Chris Cohen",2024-07-12,199052,26,false,,2025-11-03T13:55:33Z,"neo-psychedelic","Hardly Art",0.619,0.621,10,-10.367,0,0.0322,0.275,0.702,0.127,0.887,80.938,4
spotify:track:4Ut2GO1Wj7eF1nSkVXys9I,"Call On Me","Son Of Spergy","Daniel Caesar",2025-10-24,169004,0,false,,2025-10-26T20:21:46Z,"","Republic Records",0.777,0.497,4,-7.797,1,0.0647,0.0828,0.000141,0.123,0.571,80.532,4
spotify:track:08FIY5lEg4cy6Cg29RbwaN,"Emily’s Song","Son Of Spergy","Daniel Caesar",2025-10-24,174735,0,false,,2025-10-26T19:35:30Z,"","Republic Records",0.71,0.31,7,-6.913,1,0.0325,0.655,0.00000537,0.0971,0.164,73.038,4
spotify:track:4iveM86TL9ombdSfV9T1P9,"Who Knows","Son Of Spergy","Daniel Caesar",2025-10-24,226283,0,false,,2025-10-26T19:17:23Z,"","Republic Records",0.668,0.255,5,-14.918,0,0.0347,0.738,0.0000228,0.356,0.367,120.907,4
spotify:track:0NZKfcua68wuZePhjp8N2I,"Root of all Evil","Son Of Spergy","Daniel Caesar",2025-10-24,265000,0,false,,2025-10-26T19:12:22Z,"","Republic Records",0.749,0.547,4,-7.759,1,0.0322,0.16,0.349,0.132,0.575,94.016,4
spotify:track:0ehUyxmxilVK6Wtr1JWXFo,"Baby Blue (Feat. Norwill Simmonds)","Son Of Spergy","Daniel Caesar;Norwill Simmonds",2025-10-24,357705,0,false,,2025-10-26T19:08:05Z,"christian jazz","Republic Records",0.516,0.428,9,-8.225,0,0.0271,0.81,0.000688,0.364,0.136,89.932,4
spotify:track:1mbuSss0OVqfS00y7yCNCZ,"Ruthless","Superclean, Vol. II","The Marías",2018-09-28,247455,64,false,,2025-10-12T13:37:45Z,"bedroom pop","Superclean Records",0.672,0.436,9,-11.743,1,0.0326,0.71,0.147,0.117,0.557,105.003,4
spotify:track:6AcPfK2urTXdUr0ukLz55I,"Apple Cider","Apple Cider","Alan Hsiao",2025-08-29,112154,19,false,,2025-09-29T13:01:27Z,"jazz pop,vocal jazz","Alan Hsiao",0.456,0.42,1,-8.726,1,0.0909,0.733,0.0000048,0.116,0.688,199.497,4
spotify:track:04v7ZYv0TQHluugW9Tzccy,"Dancer","Dancer","Claire Rosinkranz",2025-08-15,180117,58,false,,2025-09-29T12:45:40Z,"","Purple Monkey Recordz",0.854,0.499,1,-7.352,1,0.0605,0.0686,0.00309,0.129,0.76,128.023,4
